Waitress;Romance;Independent;67;2007
Tyler Perry's Why Did I get Married;Romance;Independent;47;2007
The Heartbreak Kid;Comedy;Paramount;41;2007
P.S. I Love You;Romance;Independent;82;2007
No Reservations;Comedy;Warner Bros.;64;2007
Music and Lyrics;Romance;Warner Bros.;70;2007
License to Wed;Comedy;Warner Bros.;55;2007
Knocked Up;Comedy;Universal;83;2007
Good Luck Chuck;Comedy;Lionsgate;61;2007
Enchanted;Comedy;Disney;80;2007
Across the Universe;romance;Independent;84;2007
Zack and Miri Make a Porno;Romance;The Weinstein Company;70;2008
What Happens in Vegas;Comedy;Fox;72;2008
WALL-E;Animation;Disney;89;2008
Twilight;Romance;Summit;82;2008
The Duchess;Drama;Paramount;68;2008
The Curious Case of Benjamin Button;Fantasy;Warner Bros.;81;2008
Sex and the City;Comedy;Warner Bros.;81;2008
Rachel Getting Married;Drama;Independent;61;2008
Penelope;Comedy;Summit;74;2008
Over Her Dead Body;Comedy;New Line;47;2008
Nick and Norah's Infinite Playlist;Comedy;Sony;67;2008
Miss Pettigrew Lives for a Day;Comedy;Independent;70;2008
Marley and Me;Comedy;Fox;77;2008
Mamma Mia!;Comedy;Universal;76;2008
Mamma Mia!;Comedy;Universal;76;2008
Made of Honor;Comdy;Sony;61;2008
High School Musical 3: Senior Year;Comedy;Disney;76;2008
Four Christmases;Comedy;Warner Bros.;52;2008
Fireproof;Drama;Independent;51;2008
27 Dresses;Comedy;Fox;71;2008
The Ugly Truth;Comedy;Independent;68;2009
The Twilight Saga: New Moon;Drama;Summit;78;2009
The Time Traveler's Wife;Drama;Paramount;65;2009
The Proposal;Comedy;Disney;74;2009
The Invention of Lying;Comedy;Warner Bros.;47;2009
Not Easily Broken;Drama;Independent;66;2009
Love Happens;Drama;Universal;40;2009
It's Complicated;Comedy;Universal;63;2009
He's Just Not That Into You;Comedy;Warner Bros.;60;2009
Ghosts of Girlfriends Past;Comedy;Warner Bros.;47;2009
A Serious Man;Drama;Universal;64;2009
(500) Days of Summer;comedy;Fox;81;2009
Youth in Revolt;Comedy;The Weinstein Company;52;2010
You Will Meet a Tall Dark Stranger;Comedy;Independent;35;2010
When in Rome;Comedy;Disney;44;2010
Valentine's Day;Comedy;Warner Bros.;54;2010
The Back-up Plan;Comedy;CBS;47;2010
Tangled;Animation;Disney;88;2010
She's Out of My League;Comedy;Paramount;60;2010
Sex and the City Two;Comedy;Warner Bros.;49;2010
Sex and the City 2;Comedy;Warner Bros.;49;2010
Remember Me;Drama;Summit;70;2010
Our Family Wedding;Comedy;Independent;49;2010
Love & Other Drugs;Comedy;Fox;55;2010
Life as We Know It;Comedy;Independent;62;2010
Letters to Juliet;Comedy;Summit;62;2010
Leap Year;Comedy;Universal;49;2010
Killers;Action;Lionsgate;45;2010
Just Wright;Comedy;Fox;58;2010
I Love You Phillip Morris;Comedy;Independent;57;2010
Going the Distance;Comedy;Warner Bros.;56;2010
Dear John;Drama;Sony;66;2010
Water For Elephants;Drama;20th Century Fox;72;2011
Waiting For Forever;Romance;Independent;53;2011
Twilight: Breaking Dawn;Romance;Independent;68;2011
Something Borrowed;Romance;Independent;48;2011
One Day;Romance;Independent;54;2011
New Year's Eve;Romance;Warner Bros.;48;2011
My Week with Marilyn;Drama;The Weinstein Company;84;2011
Monte Carlo;Romance;20th Century Fox;50;2011
Midnight in Paris;Romence;Sony;84;2011
Jane Eyre;Romance;Universal;77;2011
Gnomeo and Juliet;Animation;Disney;52;2011
Gnomeo and Juliet;Animation;Disney;52;2011
Beginners;Comedy;Independent;80;2011
A Dangerous Method;Drama;Independent;89;2011